Fiscal Quarter Ending,Total Revenue,Gross Profit,Net Income,EBITDA,R&D Expenses,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Dividends Paid
2023-12-31,25167000000,4438000000,7928000000,3484000000,1094000000,106618000000,43009000000,4370000000,-4804000000,887000000,None
2023-09-30,23350000000,4178000000,1853000000,3318000000,1161000000,93941000000,39446000000,3308000000,-4762000000,2263000000,None
2023-06-30,24927000000,4533000000,2703000000,3553000000,943000000,90591000000,38409000000,3065000000,-3534000000,-328000000,None
2023-03-31,23329000000,4511000000,2513000000,3710000000,771000000,86833000000,37598000000,2513000000,-2484000000,-233000000,None
2022-12-31,24318000000,5777000000,3687000000,4890000000,810000000,82338000000,36440000000,3278000000,-6131000000,-495000000,None
2022-09-30,21454000000,5382000000,3292000000,4644000000,733000000,74426000000,33302000000,5100000000,-2791000000,-712000000,None
2022-06-30,16934000000,4234000000,2259000000,3386000000,667000000,68513000000,30855000000,2351000000,-884000000,-406000000,None
2022-03-31,18756000000,5460000000,3318000000,4483000000,865000000,66038000000,30632000000,3995000000,-2167000000,-1914000000,None
2021-12-31,17719000000,4847000000,2321000000,3554000000,740000000,62131000000,30548000000,4585000000,-1916000000,-1257000000,None
2021-09-30,13757000000,3660000000,1618000000,2765000000,611000000,57834000000,29340000000,3147000000,-1855000000,-1381000000,None
2021-06-30,11958000000,2884000000,1142000000,1993000000,576000000,55146000000,28896000000,2124000000,-1515000000,-1549000000,None
2021-03-31,10389000000,2215000000,438000000,1215000000,666000000,52972000000,28507000000,1641000000,-2582000000,-1016000000,None
2020-12-31,10744000000,2066000000,270000000,1193000000,522000000,52148000000,28418000000,3019000000,-1047000000,2692000000,None
2020-09-30,8771000000,2063000000,331000000,1393000000,366000000,45691000000,28143000000,2400000000,-1039000000,4450000000,None
2020-06-30,6036000000,1267000000,104000000,894000000,279000000,38135000000,26754000000,964000000,-566000000,123000000,None
2020-03-31,5985000000,1234000000,16000000,792000000,324000000,37250000000,26518000000,-440000000,-480000000,2708000000,None
2019-12-31,7384000000,1391000000,105000000,450000000,345000000,34309000000,26199000000,1425000000,-403000000,-79000000,None
2019-09-30,6303000000,1191000000,143000000,432000000,334000000,32795000000,25313000000,756000000,-486000000,118000000,None
2019-06-30,6350000000,921000000,-408000000,498065000,324000000,31872597000,24722136000,864000000,-241000000,2143000000,63502000
2019-03-31,4541000000,566000000,-702000000,23729000,340000000,28912524000,22874618000,-640000000,-306000000,-653000000,85257000
2018-12-31,7226000000,1443000000,140000000,910273000,356000000,29740000000,23427000000,1235000000,-365000000,-112000000,None
2018-09-30,6824000000,1524000000,311000000,919582000,351000000,29262713000,23409144000,1391040000,-560546000,-84282000,None
2018-06-30,4002000000,619000000,-718000000,23272000,386129000,27910000000,22642887000,-129664000,-682817000,398622000,None
2018-03-31,3409000000,456000000,-709000000,-137616000,367096000,27271429000,21551021000,-398376000,-728637000,371660000,None
2017-12-31,3288249000,438786000,-675350000,-68280000,354564000,28655372000,23022980000,509545000,-911642000,285978000,None
2017-09-30,2984675000,449140000,-619376000,-101928000,331622000,28107074000,21929057000,-300562000,-1244727000,2101506000,None
2017-06-30,2789557000,666615000,-336397000,176862000,369774000,26043705000,19459902000,-90981000,-1112688000,428767000,None
2017-03-31,2696270000,667946000,-330277000,170949000,322040000,25053726000,18885353000,-54056000,-926943000,1598749000,None
2016-12-31,2284631000,435278000,-121337000,281776000,245960000,22664076000,16750167000,-1551561000,-259406000,1372827000,None
2016-09-30,2298436000,636735000,21878000,357192000,214302000,12592397000,9900639000,148678000,-268006000,-320870000,None
2016-06-30,1270017000,274776000,-293188000,-59939000,191664000,11868952000,9311512000,-179188000,-319854000,1976584000,None
2016-03-31,1147048000,252468000,-282267000,-81336000,182482000,9191702000,8178711000,-334544000,-233819000,715435000,None
2015-12-31,1214379000,218564000,-320397000,-133009000,190243000,8067939000,6936950000,218564000,-414280000,225038000,None
2015-09-30,936789000,231496000,-229858000,-88400000,178791000,7547497000,6186660000,-155358000,-404090000,893978000,None
2015-06-30,954976000,213370000,-184227000,-65319000,181712000,6468185000,5701978000,-119427000,-422837000,218351000,None
2015-03-31,939880000,260073000,-154181000,-47455000,167154000,6120030000,5239756000,-149404000,-432344000,186156000,None
2014-12-31,956661000,261697000,-107630000,-7232000,139565000,5830667000,4860761000,261697000,-372231000,11325000,None
2014-09-30,851804000,251851000,-74708000,23053000,135873000,5437533000,4417278000,-34508000,-291643000,33754000,None
2014-06-30,769349000,212995000,-61900000,25203000,107717000,5054463000,4036047000,-25800000,2610000,281492000,None
2014-03-31,620542000,155128000,-49800000,7160000,81544000,4500410000,3518412000,60640000,-329180000,1816559000,None
2013-12-31,615219000,156590000,-16264000,28908000,68453000,2416930000,1749810000,129762000,-89505000,10516000,None
2013-09-30,431346000,102868000,-38496000,-2776000,56351000,2166209000,1524546000,102346000,-77502000,24215000,None
2013-06-30,405139000,100483000,-30502000,12113000,52312000,1887844000,1258418000,-38193000,-27174000,597007000,None
2013-03-31,561792000,96320000,11248000,29367000,54859000,1143778000,975195000,64079000,-55236000,3684000,None
2012-12-31,306332000,23857000,-89932000,-77262000,68832000,1114190000,989490000,-37491000,-60757000,214445000,None
2012-09-30,50104000,-8761000,-110804000,-103088000,61901000,809177000,837052000,-101026000,-64014000,40179000,None
2012-06-30,26653000,4762000,-105603000,-101062000,74854000,776869000,714654000,-64264000,-15932000,72180000,None
2012-03-31,30167000,10210000,-89873000,-85586000,68391000,761100000,607226000,-63300000,-66227000,92831000,None
2011-12-31,39375000,7835000,-81488000,-79829000,61205000,713448000,489403000,-40758000,28923000,53773000,None
2011-09-30,57666000,17224000,-65078000,-59411000,54083000,700250000,406132000,-21491000,-178170000,93609000,None
2011-06-30,58171000,18508000,-58903000,-53246000,52531000,646155000,297703000,-22488000,-23122000,264335000,None
